Machine,No of Random Reads,"workload type 
(Distinct pairs | Matches)",Write configuration for RocksDB,Write performance(time in seconds),,"Ratio
(Jena BPT / RocksDB)",Read configuration for RocksDB,Read performance (time in seconds),,"Ratio
(RocksDB / Jena BPT)",Memory(in MB),,"Ratio
(Jena BPT / RocksDB)"
,,,,RocksDB,Jena BPT,,,RocksDB,Jena BPT,,RocksDB,Jena BPT,
Machine 1,100,100 | 100000,default,5.7416,15.8196,275.53%,default,3.5393,0.7035,503.10%,134,461,344.03%
,100,100 | 100000,default,5.7416,15.8196,275.53%,default with readAhead size = 32*1024 bytes,3.3972,0.7035,482.90%,134,461,344.03%
,100,100 | 100000,default,5.7416,15.8196,275.53%,default with readAhead size = 128*1024 bytes,3.0616,0.7035,435.20%,134,461,344.03%
,100,100 | 100000,default,5.7416,15.8196,275.53%,default with readAhead size = 256*1024 bytes,3.8116,0.7035,541.81%,134,461,344.03%
,1000,1000 | 10000,default,6.0851,16.4224,269.88%,default,3.4690,0.6937,500.07%,134,461,344.03%
,1000,1000 | 10000,default,6.0851,16.4224,269.88%,default with readAhead size = 32*1024 bytes,3.2016,0.6937,461.53%,134,461,344.03%
,1000,1000 | 10000,default,6.0851,16.4224,269.88%,default with readAhead size = 128*1024 bytes,3.0844,0.6937,444.63%,134,461,344.03%
,1000,1000 | 10000,default,6.0851,16.4224,269.88%,default with readAhead size = 256*1024 bytes,3.2412,0.6937,467.23%,134,461,344.03%
,10000,10000 | 1000,default,5.9441,14.9886,252.16%,default,3.7185,0.7678,484.31%,134,461,344.03%
,100000,100000 | 100,default,6.0406,14.3715,237.92%,default,5.2579,1.1142,471.90%,136,465,341.91%
,100000,100000 | 100,default,6.0406,14.3715,237.92%,default with readAhead size = 1024 bytes,5.5947,1.1142,502.13%,136,465,341.91%
,100000,100000 | 100,default,6.0406,14.3715,237.92%,default with readAhead size = 8*1024 bytes,5.7011,1.1142,511.68%,136,465,341.91%
,100000,100000 | 100,default,6.0406,14.3715,237.92%,default with readAhead size = 128*1024 bytes,6.5690,1.1142,589.57%,136,465,341.91%
,100000,100000 | 100,default with directio enabled,5.9872,14.3715,240.04%,default with directio enabled,8.9706,1.1142,805.12%,136,465,341.91%
,100000,100000 | 100,data block size = 64 bytes,6.3038,14.3715,227.98%,data block size = 64 bytes,11.6560,1.1142,1046.13%,268,465,173.51%
,100000,100000 | 100,data block size = 128 bytes,6.2692,14.3715,229.24%,data block size = 128 bytes,7.5091,1.1142,673.95%,182,465,255.49%
,100000,100000 | 100,data block size = 512 bytes,6.6278,14.3715,216.84%,data block size = 512 bytes,5.0867,1.1142,456.53%,147,465,316.33%
,100000,100000 | 100,data block size = 1024 bytes,6.3681,14.3715,225.68%,data block size = 1024 bytes,5.2183,1.1142,468.35%,140,465,332.14%
,100000,100000 | 100,data block size = 4*1024 bytes,6.6151,14.3715,217.25%,data block size = 4*1024 bytes,5.6711,1.1142,508.98%,136,465,341.91%
,100000,100000 | 100,data block size = 16*1024 bytes,6.6893,14.3715,214.84%,data block size = 16*1024 bytes,9.6767,1.1142,868.49%,134,465,347.01%
,100000,100000 | 100,data block size = 32*1024 bytes,6.5364,14.3715,219.87%,data block size = 32*1024 bytes,14.6724,1.1142,1316.86%,134,465,347.01%
,100000,100000 | 100,Diable compression,6.1198,14.3715,234.84%,Disable compression,3.7361,1.1142,335.32%,140,465,332.14%
,100000,100000 | 100,Disable compression and checksum,6.7633,14.3715,212.49%,Disable compression and checksum,3.7032,1.1142,332.36%,140,465,332.14%
,100000,100000 | 100,default with prefix bloom filter*,6.0443,14.3715,237.77%,Prefix Bloom filter size = 10 bits ; Prefix extractor = CappedPrefixTransform ; Prefix size = 16 bytes,5.4595,1.1142,489.99%,72,465,645.83%
